fighter_name,first,last,nickname,height_cm,weight_lbs,reach_cm,stance,dob,url
Edson Drago,Edson,Drago,,193.0,220.0,,Orthodox,1977-08-29,http://ufcstats.com/fighter-details/f9c7fe2682af3802
Jimmy Drago,Jimmy,Drago,,177.8,170.0,180.3,Orthodox,1995-02-18,http://ufcstats.com/fighter-details/cb4bf812d9cb78b4
Anthony Drilich,Anthony,Drilich,,165.1,125.0,165.1,Southpaw,1994-03-17,http://ufcstats.com/fighter-details/c2c4052f58f54988
Kyle Driscoll,Kyle,Driscoll,KD,180.3,145.0,188.0,Orthodox,1994-09-23,http://ufcstats.com/fighter-details/e5e148d4363deff8
Chris Drumm,Chris,Drumm,,172.7,145.0,,,,http://ufcstats.com/fighter-details/5fd834edd92c9e50
Tomasz Drwal,Tomasz,Drwal,Gorilla,185.4,205.0,193.0,Orthodox,1982-01-22,http://ufcstats.com/fighter-details/679a9054e2815943
Robert Drysdale,Robert,Drysdale,,190.5,205.0,,Orthodox,1981-10-05,http://ufcstats.com/fighter-details/d2a9be6bf2de624c
Dricus Du Plessis,Dricus,Du Plessis,Stillknocks,185.4,185.0,193.0,Switch,1994-01-14,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e
Hugo Duarte,Hugo,Duarte,,182.9,240.0,,Orthodox,1968-08-09,http://ufcstats.com/fighter-details/706404da0775dcbc
Antonio Duarte,Antonio,Duarte,Tigre,170.2,135.0,,,,http://ufcstats.com/fighter-details/29b5d32584e02d8d
Joe Duarte,Joe,Duarte,,,155.0,,,1977-01-25,http://ufcstats.com/fighter-details/454c3e9d4cd4a1b3
Yuneisy Duben,Yuneisy,Duben,,162.6,125.0,165.1,Orthodox,1996-07-08,http://ufcstats.com/fighter-details/c3d2b9bcb4cead6b
Matthieu Duclos,Matthieu,Duclos,,190.5,185.0,195.6,Orthodox,1995-04-04,http://ufcstats.com/fighter-details/ec322adbabbfa6e7
Emily Ducote,Emily,Ducote,Gordinha,157.5,115.0,160.0,Orthodox,1994-01-01,http://ufcstats.com/fighter-details/02f8fedc18cbd26c
Viktoriia Dudakova,Viktoriia,Dudakova,,165.1,115.0,170.2,Orthodox,1999-01-26,http://ufcstats.com/fighter-details/6c9b66b43663f2f7
Milana Dudieva,Milana,Dudieva,,160.0,135.0,,Orthodox,1989-08-04,http://ufcstats.com/fighter-details/072a10e85f7d4bff
Adin Duenas,Adin,Duenas,,167.6,145.0,,,1988-07-02,http://ufcstats.com/fighter-details/cb6c45b26b0a877a
Todd Duffee,Todd,Duffee,,190.5,260.0,198.1,Orthodox,1985-12-06,http://ufcstats.com/fighter-details/bda04c573563cc2e
Joe Duffy,Joe,Duffy,Irish,177.8,155.0,185.4,Orthodox,1988-02-18,http://ufcstats.com/fighter-details/654ae722109a0d31
Jack Duffy,Jack,Duffy,The Fury,170.2,125.0,175.3,Switch,1995-10-02,http://ufcstats.com/fighter-details/cea51876d8a514a0
Alexis Dufresne,Alexis,Dufresne,Sneaky Zebra,175.3,135.0,,Orthodox,1990-08-31,http://ufcstats.com/fighter-details/4ae4049426e0161d
Jessamyn Duke,Jessamyn,Duke,The Gun,180.3,135.0,185.4,Orthodox,1986-06-24,http://ufcstats.com/fighter-details/a7ddae0be8b78147
Islam Dulatov,Islam,Dulatov,The Ripper,190.5,170.0,190.5,Orthodox,1998-08-02,http://ufcstats.com/fighter-details/e803242fb2e41112
Isaac Dulgarian,Isaac,Dulgarian,The Midwest Choppa,170.2,145.0,180.3,Orthodox,1996-07-04,http://ufcstats.com/fighter-details/a57cb948c4c70a47
Kelly Dullanty,Kelly,Dullanty,Psycho,172.7,155.0,,Orthodox,1977-11-04,http://ufcstats.com/fighter-details/1a225f04aa6e0739
Sedriques Dumas,Sedriques,Dumas,The Reaper,188.0,185.0,200.7,Orthodox,1995-08-06,http://ufcstats.com/fighter-details/4e6738062d469256
Norma Dumont,Norma,Dumont,The Immortal,170.2,135.0,170.2,Orthodox,1990-10-01,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9
Chris Duncan,Chris,Duncan,The Problem,177.8,155.0,180.3,Orthodox,1993-05-10,http://ufcstats.com/fighter-details/fd406a32a6fb3a29
Christian Leroy Duncan,Christian Leroy,Duncan,CLD,188.0,185.0,200.7,Switch,1995-07-24,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Evan Dunham,Evan,Dunham,,177.8,155.0,177.8,Southpaw,1981-12-18,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6
Alex Dunworth,Alex,Dunworth,,172.7,155.0,,,,http://ufcstats.com/fighter-details/31732a614e7a3d1d
Tom Duquesnoy,Tom,Duquesnoy,Fire Kid,170.2,135.0,172.7,Orthodox,1993-06-21,http://ufcstats.com/fighter-details/e979c76341f19b22
Albert Duraev,Albert,Duraev,,180.3,185.0,190.5,Orthodox,1989-01-05,http://ufcstats.com/fighter-details/6b7c7460855dbbb9
Reuben Duran,Reuben,Duran,,170.2,135.0,180.3,Orthodox,1983-07-02,http://ufcstats.com/fighter-details/4417980b3e798abf
Cody Durden,Cody,Durden,Custom Made,170.2,125.0,170.2,Southpaw,1991-03-29,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036
Luiz Dutra,Luiz,Dutra,Besouro,180.3,170.0,,Orthodox,1982-05-06,http://ufcstats.com/fighter-details/2153a7f8396a46cc
Rilley Dutro,Rilley,Dutro,,172.7,125.0,,Orthodox,1987-09-03,http://ufcstats.com/fighter-details/43db649da89fac4b
Bill Duvall,Bill,Duvall,,188.0,185.0,,Southpaw,,http://ufcstats.com/fighter-details/7df4d3c38792b083
Merab Dvalishvili,Merab,Dvalishvili,The Machine,167.6,135.0,172.7,Orthodox,1991-01-10,http://ufcstats.com/fighter-details/c03520b5c88ed6b4
David Dvorak,David,Dvorak,Undertaker,165.1,125.0,172.7,Orthodox,1992-06-05,http://ufcstats.com/fighter-details/9ada30894bf04e19
Matt Dwyer,Matt,Dwyer,,193.0,170.0,193.0,Orthodox,1989-12-17,http://ufcstats.com/fighter-details/8f0d576beba1cfcd
Rolando Dy,Rolando,Dy,Dy Incredible,172.7,145.0,175.3,Orthodox,1990-08-11,http://ufcstats.com/fighter-details/55ed59d541f8b90c
Shanelle Dyer,Shanelle,Dyer,The Nightmare,167.6,115.0,165.1,Orthodox,2001-04-23,http://ufcstats.com/fighter-details/cfbb3edab781dfd2
Ben Earwood,Ben,Earwood,,172.7,170.0,,Orthodox,,http://ufcstats.com/fighter-details/ee457ef1e1c326c1
Cody East,Cody,East,The Freight Train,190.5,245.0,,Orthodox,1988-06-29,http://ufcstats.com/fighter-details/5713c1d2fac539ac
Marvin Eastman,Marvin,Eastman,The Beastman,175.3,185.0,185.4,Orthodox,1971-06-08,http://ufcstats.com/fighter-details/05866d8c3a321856
Mike Easton,Mike,Easton,The Hulk,167.6,135.0,177.8,Southpaw,1984-01-25,http://ufcstats.com/fighter-details/bc7230f231701d66
Maurice Eazel,Maurice,Eazel,,170.2,135.0,,,,http://ufcstats.com/fighter-details/4acb99524a9a81ab
Vincent Eazelle,Vincent,Eazelle,The Real Deal,180.3,155.0,,,1980-12-07,http://ufcstats.com/fighter-details/ec421d5de0aea624
Ross Ebanez,Ross,Ebanez,The Boss,175.3,154.0,,Southpaw,1975-05-18,http://ufcstats.com/fighter-details/a5b0bd216d8ba84e
Brian Ebersole,Brian,Ebersole,Bad Boy,182.9,170.0,185.4,Southpaw,1980-11-27,http://ufcstats.com/fighter-details/32ba186f4b0e3267
Roybert Echeverria,Roybert,Echeverria,The Unbroken,165.1,125.0,170.2,Switch,1995-08-21,http://ufcstats.com/fighter-details/20b13e96668caaa4
Mark Eddiva,Mark,Eddiva,,172.7,145.0,172.7,Orthodox,1986-02-16,http://ufcstats.com/fighter-details/40ff198adda94b9f
Frankie Edgar,Frankie,Edgar,The Answer,167.6,135.0,172.7,Orthodox,1981-10-16,http://ufcstats.com/fighter-details/f2688492b9a525a3
Abdul-Kerim Edilov,Abdul-Kerim,Edilov,,188.0,205.0,,Orthodox,1991-11-25,http://ufcstats.com/fighter-details/37e03538c960bac6
Johnny Eduardo,Johnny,Eduardo,,170.2,135.0,180.3,Orthodox,1978-08-03,http://ufcstats.com/fighter-details/528c24b99fbaab79
Yves Edwards,Yves,Edwards,,175.3,155.0,185.4,Southpaw,1976-09-30,http://ufcstats.com/fighter-details/5f04e3d58d9ce982
Justin Edwards,Justin,Edwards,Fast Eddy,177.8,155.0,177.8,Orthodox,1983-01-26,http://ufcstats.com/fighter-details/e56daf7725a0b5ab
Leon Edwards,Leon,Edwards,Rocky,188.0,170.0,188.0,Southpaw,1991-08-25,http://ufcstats.com/fighter-details/f1fac969a1d70b08
Te Edwards,Te,Edwards,,172.7,155.0,182.9,Orthodox,1990-09-11,http://ufcstats.com/fighter-details/ef44e4ea9050f2ea
Adli Edwards,Adli,Edwards,,,145.0,,,1989-08-28,http://ufcstats.com/fighter-details/e6904a03a66e711d
Joselyne Edwards,Joselyne,Edwards,La Pantera,172.7,135.0,177.8,Orthodox,1995-09-29,http://ufcstats.com/fighter-details/f9ab66e67240db7b
Christian Edwards,Christian,Edwards,Pain,,205.0,,,1998-11-05,http://ufcstats.com/fighter-details/f5d82eccdea4e2dd
Tom Egan,Tom,Egan,,180.3,170.0,,Orthodox,,http://ufcstats.com/fighter-details/eae4aec1a5a8ff01
Stephanie Egger,Stephanie,Egger,,167.6,135.0,172.7,Orthodox,1988-08-12,http://ufcstats.com/fighter-details/5e6294b37bbef029
Justin Eilers,Justin,Eilers,The Hammer,185.4,235.0,,Orthodox,1978-06-28,http://ufcstats.com/fighter-details/27fc9218a3653e3c
Jon Olav Einemo,Jon Olav,Einemo,The Viking,198.1,253.0,,Orthodox,1975-12-10,http://ufcstats.com/fighter-details/0577808d22dfe79c
Per Eklund,Per,Eklund,,177.8,155.0,182.9,Orthodox,,http://ufcstats.com/fighter-details/58bc81376286b3d3
John Elam,John,Elam,,,,,,,http://ufcstats.com/fighter-details/22d80fb67e50ab0b
Evan Elder,Evan,Elder,The Phenom,177.8,155.0,182.9,Switch,1997-04-11,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e
Billy Elekana,Billy,Elekana,Son of Susie,190.5,205.0,195.6,Southpaw,1995-05-28,http://ufcstats.com/fighter-details/07a74004d964c7f4
John Paul Elias,John Paul,Elias,,193.0,205.0,,,,http://ufcstats.com/fighter-details/e873203fd50542f6
Joao Elias,Joao,Elias,Alicate,160.0,125.0,162.6,Southpaw,1995-01-08,http://ufcstats.com/fighter-details/1a064688481f66e1
Saul Elizondo,Saul,Elizondo,,170.2,135.0,,,1985-07-17,http://ufcstats.com/fighter-details/e295b96f135d758a
Darren Elkins,Darren,Elkins,The Damage,177.8,145.0,180.3,Orthodox,1984-05-16,http://ufcstats.com/fighter-details/92a9aa9c93192871
Jake Ellenberger,Jake,Ellenberger,The Juggernaut,175.3,170.0,180.3,Orthodox,1985-03-28,http://ufcstats.com/fighter-details/d81ac739417d7f53
Joe Ellenberger,Joe,Ellenberger,Excalibur,175.3,155.0,182.9,Orthodox,1985-03-28,http://ufcstats.com/fighter-details/8e8e4487c621aa1c
Tim Elliott,Tim,Elliott,,170.2,125.0,167.6,Southpaw,1986-12-24,http://ufcstats.com/fighter-details/c96d9178c9ed9e62
Oban Elliott,Oban,Elliott,The Welsh Gangster,182.9,170.0,182.9,Orthodox,1997-12-19,http://ufcstats.com/fighter-details/6b56e94a59b7b134
Ezra Elliott,Ezra,Elliott,,,145.0,,Orthodox,2000-05-18,http://ufcstats.com/fighter-details/b852ad2b35354fcb
Eddy Ellis,Eddy,Ellis,Fast,175.3,170.0,,Orthodox,,http://ufcstats.com/fighter-details/e60d773a0a42048a
Lisa Ellis,Lisa,Ellis,,162.6,115.0,,,1982-11-15,http://ufcstats.com/fighter-details/77350fd0e6d1dba8
Elisha Ellison,Elisha,Ellison,The Snack Panther,182.9,238.0,198.1,Orthodox,1997-03-05,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce
Anna Elmose,Anna,Elmose,Panda,160.0,115.0,,Orthodox,1984-10-06,http://ufcstats.com/fighter-details/1536a25e16fc299b
Cameron Else,Cameron,Else,Camchida,175.3,135.0,180.3,Switch,1987-04-27,http://ufcstats.com/fighter-details/5f3da9a9610d8969
Aaron Ely,Aaron,Ely,The Cyborg,172.7,135.0,,,1989-03-18,http://ufcstats.com/fighter-details/1741343f0ca34dd5
Sovannahry Em,Sovannahry,Em,The Sweet Savage,162.6,135.0,,,1992-06-26,http://ufcstats.com/fighter-details/45c8fed13a62fe92
Ramazan Emeev,Ramazan,Emeev,Gorets,177.8,170.0,193.0,Southpaw,1987-05-23,http://ufcstats.com/fighter-details/abd5fb12437eda21
Aleksander Emelianenko,Aleksander,Emelianenko,,198.1,255.0,,Orthodox,1981-08-02,http://ufcstats.com/fighter-details/f54200f1dfb9b5d4
Fedor Emelianenko,Fedor,Emelianenko,The Last Emperor,182.9,230.0,188.0,Orthodox,1976-09-28,http://ufcstats.com/fighter-details/b8da6f5c80ae2d15
Rob Emerson,Rob,Emerson,The Saint,175.3,155.0,177.8,Orthodox,1981-07-30,http://ufcstats.com/fighter-details/dc0f07928009a127
Jamall Emmers,Jamall,Emmers,Pretty Boy,177.8,145.0,188.0,Orthodox,1989-07-24,http://ufcstats.com/fighter-details/e00a3dee329a51f7
Josh Emmett,Josh,Emmett,,167.6,145.0,177.8,Orthodox,1985-03-04,http://ufcstats.com/fighter-details/fba03cd6cc28dc41
Marius Enache,Marius,Enache,,180.3,155.0,,,1975-10-16,http://ufcstats.com/fighter-details/e3f443e4cbc3da8f
Kevin Engel,Kevin,Engel,The Hitman,188.0,170.0,,,,http://ufcstats.com/fighter-details/d2f310b5b072e986
Kolton Englund,Kolton,Englund,White Assassin,177.8,155.0,175.3,Orthodox,1993-07-09,http://ufcstats.com/fighter-details/4122da4f791b2f4f
Oliver Enkamp,Oliver,Enkamp,,182.9,170.0,195.6,Switch,1991-08-10,http://ufcstats.com/fighter-details/330bafba312face4
Alex Enlund,Alex,Enlund,,177.8,145.0,,Orthodox,1987-05-27,http://ufcstats.com/fighter-details/d238217e0f8ea8e1
Kenny Ento,Kenny,Ento,Tha' Dragon,188.0,192.0,,,,http://ufcstats.com/fighter-details/daf9be103c1edbbd
Ian Entwistle,Ian,Entwistle,Enty,165.1,135.0,,Orthodox,1986-11-19,http://ufcstats.com/fighter-details/d7adfcfdf7c6c1f8
Andy Enz,Andy,Enz,Tank Mode,190.5,185.0,198.1,Orthodox,1991-08-15,http://ufcstats.com/fighter-details/993d385f5a475375
Won Jin Eoh,Won Jin,Eoh,,170.2,160.0,,Orthodox,,http://ufcstats.com/fighter-details/bc7cf284c1c2f16e
Yuji Ephoevi-Ga,Yuji,Ephoevi-Ga,The Chef,182.9,155.0,190.5,Switch,1999-10-19,http://ufcstats.com/fighter-details/919fc4bc3edf4de7
Josh Epps,Josh,Epps,,,130.0,,,1986-08-23,http://ufcstats.com/fighter-details/984b0c4c6e773a1c
Abdellah Er-Ramy,Abdellah,Er-Ramy,The Golden Boy,182.9,185.0,188.0,Orthodox,1996-09-19,http://ufcstats.com/fighter-details/b593cd58b0afffb0
Steve Erceg,Steve,Erceg,Astroboy,172.7,125.0,172.7,Orthodox,1995-07-27,http://ufcstats.com/fighter-details/32ab52e5de93092d
Tom Erikson,Tom,Erikson,The Big Cat,190.5,280.0,,Orthodox,,http://ufcstats.com/fighter-details/7b9a85e5ff31ef47
Konstantin Erokhin,Konstantin,Erokhin,,180.3,230.0,,Orthodox,1983-01-31,http://ufcstats.com/fighter-details/22061ff217907c78
Julian Erosa,Julian,Erosa,Juicy J,185.4,145.0,188.0,Southpaw,1989-07-31,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a
Jarno Errens,Jarno,Errens,,180.3,145.0,185.4,Orthodox,1994-11-17,http://ufcstats.com/fighter-details/082eba4cd80f736f
Ivan Erslan,Ivan,Erslan,,188.0,205.0,182.9,Orthodox,1991-11-15,http://ufcstats.com/fighter-details/64ad3e3b0efa30bb
Nick Ertl,Nick,Ertl,,175.3,155.0,,,,http://ufcstats.com/fighter-details/74061adb224be3cc
Chel Erwin-Davis,Chel,Erwin-Davis,The First Sun,182.9,170.0,,,,http://ufcstats.com/fighter-details/c26ea30823f37316
Bobby Escalante,Bobby,Escalante,,,130.0,,,,http://ufcstats.com/fighter-details/f7ede18b4ec4ec1f
Fabrizio Escarrega,Fabrizio,Escarrega,,,155.0,,,1998-02-18,http://ufcstats.com/fighter-details/9ebd666f99ba686b
Eric Esch,Eric,Esch,Butterbean,180.3,350.0,,Orthodox,1968-08-03,http://ufcstats.com/fighter-details/0e4daed84a8f39a6
Pro Escobedo,Pro,Escobedo,,,205.0,,,,http://ufcstats.com/fighter-details/b36874652ed7715d
Cole Escovedo,Cole,Escovedo,Apache Kid,170.2,135.0,182.9,Orthodox,1981-08-30,http://ufcstats.com/fighter-details/5df17b3620145578
Efrain Escudero,Efrain,Escudero,Hecho En Mexico,175.3,155.0,180.3,Orthodox,1986-01-15,http://ufcstats.com/fighter-details/83fd97284f4bb4a4
Evan Esguerra,Evan,Esguerra,,,145.0,,,,http://ufcstats.com/fighter-details/ed220e87bef0cc64
Carla Esparza,Carla,Esparza,Cookie Monster,154.9,115.0,160.0,Orthodox,1987-10-10,http://ufcstats.com/fighter-details/d910665038efc639
Juan Espino,Juan,Espino,El Guapo,190.5,255.0,203.2,Orthodox,1980-10-09,http://ufcstats.com/fighter-details/ccf5dc41417e9daf
Jordan Espinosa,Jordan,Espinosa,The Gamer,167.6,125.0,175.3,Orthodox,1989-11-08,http://ufcstats.com/fighter-details/215a70f073a7b726
Jodie Esquibel,Jodie,Esquibel,,154.9,115.0,162.6,Orthodox,1986-05-07,http://ufcstats.com/fighter-details/411539901068522f
Rafael Estevam,Rafael,Estevam,Macapa,172.7,125.0,175.3,Orthodox,1996-08-10,http://ufcstats.com/fighter-details/83455a9d17f57dae
Achilles Estremadura,Achilles,Estremadura,,177.8,155.0,172.7,Orthodox,1992-03-11,http://ufcstats.com/fighter-details/41f3cfdab0b22236
Shaun Etchell,Shaun,Etchell,The Buzzsaw,170.2,125.0,172.7,Switch,1993-08-05,http://ufcstats.com/fighter-details/ea9bfe9c25037bba
Terry Etim,Terry,Etim,,185.4,155.0,185.4,Orthodox,1986-01-11,http://ufcstats.com/fighter-details/33011768c3c4dc9a
Fred Ettish,Fred,Ettish,,182.9,180.0,,Southpaw,,http://ufcstats.com/fighter-details/8d5daf67983b65ba
Scott Ettling,Scott,Ettling,,,135.0,,,,http://ufcstats.com/fighter-details/74b5736f1df40be3
Sijara Eubanks,Sijara,Eubanks,SarJ,162.6,125.0,170.2,Orthodox,1985-04-27,http://ufcstats.com/fighter-details/4234f0097c83fa62
Billy Evangelista,Billy,Evangelista,,172.7,155.0,172.7,Orthodox,1980-10-07,http://ufcstats.com/fighter-details/9766ed20b68c7c33
Rashad Evans,Rashad,Evans,Suga,182.9,205.0,190.5,Orthodox,1979-09-25,http://ufcstats.com/fighter-details/ee779c43a8926d52
Doug Evans,Doug,Evans,,175.3,155.0,,Orthodox,1980-10-10,http://ufcstats.com/fighter-details/d3de4a24f7eefac8
Ashlee Evans-Smith,Ashlee,Evans-Smith,Rebel Girl,172.7,135.0,170.2,Orthodox,1987-07-09,http://ufcstats.com/fighter-details/fc6e681bf6658faf
Dan Evensen,Dan,Evensen,The Viking,190.5,250.0,,Orthodox,1974-06-01,http://ufcstats.com/fighter-details/dd8aec6de7035943
Tonya Evinger,Tonya,Evinger,Triple Threat,170.2,135.0,177.8,Orthodox,1981-06-04,http://ufcstats.com/fighter-details/b12a1d19ee383b7c
Movsar Evloev,Movsar,Evloev,,170.2,145.0,182.9,Orthodox,1994-02-11,http://ufcstats.com/fighter-details/76e2870ffafbe38f
Andre Ewell,Andre,Ewell,Mr. Highlight,172.7,145.0,190.5,Southpaw,1988-01-21,http://ufcstats.com/fighter-details/5f6f049d54728e88
Chris Ewert,Chris,Ewert,El Tanke,182.9,185.0,190.5,Orthodox,1993-09-06,http://ufcstats.com/fighter-details/54c2576b7f2f1f57
Neal Ewing,Neal,Ewing,,,185.0,,,1985-09-30,http://ufcstats.com/fighter-details/0798f558681d0eb5
Ethyn Ewing,Ethyn,Ewing,The Professor Finesser,,145.0,,,1998-02-16,http://ufcstats.com/fighter-details/d776b5814f2400b4
Manuel Exposito,Manuel,Exposito,,170.2,145.0,172.7,Orthodox,2000-05-09,http://ufcstats.com/fighter-details/a1cb266d7f44f35f
Jessica Eye,Jessica,Eye,Evil,167.6,125.0,167.6,Orthodox,1986-07-27,http://ufcstats.com/fighter-details/f72465a784c1b084
Edward Faaloloto,Edward,Faaloloto,,,155.0,177.8,Orthodox,1984-07-15,http://ufcstats.com/fighter-details/6224e8d0a34264eb
Urijah Faber,Urijah,Faber,The California Kid,167.6,135.0,170.2,Orthodox,1979-05-14,http://ufcstats.com/fighter-details/78114b7199cef90c
Melinda Fabian,Melinda,Fabian,,167.6,125.0,167.6,Orthodox,1987-06-25,http://ufcstats.com/fighter-details/8c020156779f7888
Wagnney Fabiano,Wagnney,Fabiano,The Silencer,167.6,145.0,175.3,Southpaw,1975-07-14,http://ufcstats.com/fighter-details/40389d39a92f5bfa
Bartosz Fabinski,Bartosz,Fabinski,The Butcher,182.9,170.0,190.5,Orthodox,1986-04-26,http://ufcstats.com/fighter-details/e17ac6410c8377f4
Ron Faircloth,Ron,Faircloth,,175.3,205.0,,Orthodox,1979-08-16,http://ufcstats.com/fighter-details/453ee00c3e1ae9dd
Jason Fairn,Jason,Fairn,,185.4,230.0,,,,http://ufcstats.com/fighter-details/adea9f0090aa8e14
Zarah Fairn,Zarah,Fairn,Infinite,172.7,135.0,182.9,Orthodox,1983-12-10,http://ufcstats.com/fighter-details/862b0b3375aa4b6e
Rinat Fakhretdinov,Rinat,Fakhretdinov,Gladiator,182.9,170.0,188.0,Orthodox,1991-09-28,http://ufcstats.com/fighter-details/8f765fd5775a8873
Maiquel Falcao,Maiquel,Falcao,Big Rig,180.3,185.0,,Orthodox,1981-03-08,http://ufcstats.com/fighter-details/d58478ded5534695
Pedro Falcao,Pedro,Falcao,Pedrinho,167.6,135.0,167.6,Orthodox,1992-07-30,http://ufcstats.com/fighter-details/f7be1db194e03d7e
Brodie Farber,Brodie,Farber,,185.4,170.0,,Orthodox,1980-07-05,http://ufcstats.com/fighter-details/91d73ee59347ac16
Joao Paulo Faria,Joao Paulo,Faria,,175.3,155.0,,,,http://ufcstats.com/fighter-details/04e9955f33e0c267
Kalindra Faria,Kalindra,Faria,,170.2,125.0,,Switch,1986-07-23,http://ufcstats.com/fighter-details/27b164b0d1833df0
Jair Farias,Jair,Farias,Chosen,185.4,145.0,193.0,Orthodox,1993-03-16,http://ufcstats.com/fighter-details/431262bbc69215dc
Chance Farrar,Chance,Farrar,,175.3,145.0,,Southpaw,1975-09-11,http://ufcstats.com/fighter-details/49c7236c737d7e59
Rico Farrington,Rico,Farrington,The Triggerman,193.0,170.0,200.7,Southpaw,1989-06-19,http://ufcstats.com/fighter-details/f89e6e66b9b112de
Kelly Faszholz,Kelly,Faszholz,,172.7,135.0,,Orthodox,1985-04-09,http://ufcstats.com/fighter-details/9c42a0de8e012870
Rodney Faverus,Rodney,Faverus,,182.9,215.0,,Southpaw,,http://ufcstats.com/fighter-details/5af26b3201690d29
Namo Fazil,Namo,Fazil,Grandson of Saladin,,170.0,,,1996-10-29,http://ufcstats.com/fighter-details/f36af23639501cdf
Paul Felder,Paul,Felder,The Irish Dragon,180.3,155.0,177.8,Orthodox,1984-04-25,http://ufcstats.com/fighter-details/e5010b1b94ca5755
Carlos Felipe,Carlos,Felipe,Boi,182.9,245.0,190.5,Orthodox,1995-01-12,http://ufcstats.com/fighter-details/a2ea77e974c5889f
JP Felty,JP,Felty,,,170.0,,,1979-04-28,http://ufcstats.com/fighter-details/954e3f4e2b0e6510
Feng Pengchao,Feng,Pengchao,,,135.0,,,,http://ufcstats.com/fighter-details/86597694317e5e1b
Feng Xiaocan,Feng,Xiaocan,Little Flower,170.2,115.0,170.2,Southpaw,2001-10-27,http://ufcstats.com/fighter-details/c940b42df95bbd28
Kevin Ferguson,Kevin,Ferguson,Kimbo Slice,188.0,235.0,195.6,Orthodox,1974-02-08,http://ufcstats.com/fighter-details/27541033b97c076d
Rhadi Ferguson,Rhadi,Ferguson,,170.2,205.0,,,,http://ufcstats.com/fighter-details/15f4550e017f6c7d
Tony Ferguson,Tony,Ferguson,El Cucuy,180.3,170.0,193.0,Orthodox,1984-02-12,http://ufcstats.com/fighter-details/22a92d7f62195791
Josh Ferguson,Josh,Ferguson,Taz,165.1,125.0,,Orthodox,1988-05-13,http://ufcstats.com/fighter-details/b0f316c60f8d3b47
CJ Fernandes,CJ,Fernandes,,188.0,170.0,,,1977-11-13,http://ufcstats.com/fighter-details/979f7edbb6980b0d
Bibiano Fernandes,Bibiano,Fernandes,,170.2,139.0,,Orthodox,1980-03-30,http://ufcstats.com/fighter-details/cbc071cb20ea59c7
Gabriella Fernandes,Gabriella,Fernandes,Gabi,167.6,125.0,167.6,Southpaw,1993-08-13,http://ufcstats.com/fighter-details/a6eb54ae17a551be
Kaue Fernandes,Kaue,Fernandes,,175.3,155.0,185.4,Orthodox,1995-03-17,http://ufcstats.com/fighter-details/ec13c393d029297d
Emily Fernandez,Emily,Fernandez,,,,,,,http://ufcstats.com/fighter-details/7ee1babb99f30115
Luke Fernandez,Luke,Fernandez,,,205.0,,Orthodox,1995-06-29,http://ufcstats.com/fighter-details/d62e280d0f7b6d6f
Lucas Fernando,Lucas,Fernando,,190.5,185.0,203.2,,1997-01-10,http://ufcstats.com/fighter-details/3df223aeaacecf3f
Alexandre Ferreira,Alexandre,Ferreira,Cacareco,170.2,205.0,,Orthodox,1979-04-25,http://ufcstats.com/fighter-details/28ba5f27e473420c
Cezar Ferreira,Cezar,Ferreira,Mutante,185.4,185.0,198.1,Southpaw,1985-02-15,http://ufcstats.com/fighter-details/dbc17725b887860a
Diego Ferreira,Diego,Ferreira,,175.3,155.0,188.0,Orthodox,1985-01-18,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc
Erisson Ferreira,Erisson,Ferreira,Gato,167.6,125.0,177.8,Orthodox,1991-05-03,http://ufcstats.com/fighter-details/1c2a8915f8431507
Brunno Ferreira,Brunno,Ferreira,The Hulk,177.8,185.0,182.9,Orthodox,1992-11-04,http://ufcstats.com/fighter-details/1e719d4b676dc19a
Scott Ferrozzo,Scott,Ferrozzo,The Pitbull,180.3,323.0,,Orthodox,1965-04-26,http://ufcstats.com/fighter-details/977081bc01197656
Timo Feucht,Timo,Feucht,,190.5,205.0,200.7,Orthodox,1996-01-18,http://ufcstats.com/fighter-details/8c21eb9fd7c4c203
Andre Fialho,Andre,Fialho,,182.9,170.0,188.0,Orthodox,1994-04-07,http://ufcstats.com/fighter-details/33efaf2d0941cfcf
Drew Fickett,Drew,Fickett,The Master,177.8,155.0,177.8,Orthodox,1979-12-14,http://ufcstats.com/fighter-details/d814f5192e58fb2f
Scott Fiedler,Scott,Fiedler,,193.0,235.0,,Orthodox,,http://ufcstats.com/fighter-details/0ec821423baa26bd
Ron Fields,Ron,Fields,Killing,188.0,200.0,,Orthodox,1974-11-18,http://ufcstats.com/fighter-details/6e380a4d73ab4f0e
Michal Figlak,Michal,Figlak,Mad Dog,177.8,155.0,177.8,Orthodox,1996-08-15,http://ufcstats.com/fighter-details/b4c57a8c2b773e82
Deiveson Figueiredo,Deiveson,Figueiredo,Deus da Guerra,165.1,135.0,172.7,Orthodox,1987-12-18,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
